rank,model,pareto_optimal,mean_r2,mean_rmse,mean_mae,mean_train_ms,mean_infer_ms,mean_r2_unweighted,mean_rmse_unweighted,mean_mae_unweighted,mean_train_ms_unweighted,mean_infer_ms_unweighted,param_count,target_count,snm_r2,snm_mae,snm_rmse,ber_r2,ber_mae,ber_rmse,noise_sigma_r2,noise_sigma_mae,noise_sigma_rmse,hold_snm_r2,hold_snm_mae,hold_snm_rmse,read_snm_r2,read_snm_mae,read_snm_rmse,write_margin_r2,write_margin_mae,write_margin_rmse,read_fail_r2,read_fail_mae,read_fail_rmse,write_fail_r2,write_fail_mae,write_fail_rmse
1,MLP 3-layer (sklearn),True,0.8374392138692106,4.547348157538005,3.4702842027259853,74.88635607164724,0.0072170674711886686,0.8695177429373481,5.4377962929437365,4.15390141124008,79.17202250018818,0.0073408888985997895,505,8,0.9573395656458681,2.5270396504164387,3.1831502919008505,0.9425336651011446,0.000804232657290127,0.0010243006164067216,0.9113426628959556,0.003035539859789787,0.0040712886509924485,0.9573395656458681,2.5270396504164387,3.1831502919008505,0.944219318428889,3.271491788177413,4.045194087569662,0.9421292613122759,24.901799729631172,33.08577927056599,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,0.3013113541100724,6.986886458899275e-07,8.122675928118574e-07
2,Gradient Boosting,False,0.8213783532184319,0.19197732035213055,0.14246734748909096,103.83576571471818,0.007502126989579882,0.8749483153125459,0.2262887519374569,0.1683641479159921,103.21209250041647,0.007715055560563795,1540,8,0.9999735113437251,0.05168598069002175,0.05560567363518239,0.9999595084563652,1.656608234379285e-05,1.7648110581423332e-05,0.9999404075960902,7.094276840345622e-05,0.00010144303141700634,0.9999735113437251,0.05168598069002175,0.05560567363518239,0.9999581671398513,0.06641598811343227,0.07335111428463417,0.9998548662618998,1.1770367249102642,1.6256274627251166,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
3,Polynomial (deg=3),True,0.8187120520065326,1.3309582915678864,1.1538410415245877,1.0739201783248324,0.006151809529910679,0.8718573487067237,1.591143353764023,1.3796583680560848,1.088909999725729,0.006251722229030242,120,8,0.9964051977321731,0.8046403271522259,0.9210552473301487,0.9964334834114199,0.00022374019836094065,0.0002545109808765367,0.9943522867109233,0.0008754047958957409,0.0010161500146642533,0.9964051977321731,0.8046403271522259,0.9210552473301487,0.9962015314843924,0.8873619324449571,1.0204139572106397,0.9951345422239977,8.539524212631562,9.865350717168166,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
4,MLP 2-layer (Perceptron Gate),True,0.8105746151699034,1.2303793111518484,0.9365805071793988,311.12624857135285,0.000870400797591881,0.8630269139687645,1.4881111707324393,1.1278352730311387,302.4972749999506,0.0008133888918059205,181,8,0.9937692662395552,0.8446516479823231,1.2651733957399096,0.9912206615568031,0.0002880275966935803,0.0004144743151046633,0.9357758354442176,0.0025651016549666913,0.0032526180868355714,0.9937692662395552,0.8446516479823231,1.2651733957399096,0.9932093003654536,1.0034073086537991,1.443950519317808,0.9965444315456109,6.327117450305554,7.926923962582404,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,2.100097873380946e-13,9.999999999997899e-07,9.999999999997899e-07
5,SVR (RBF),False,0.7927735566902355,4.273996522939236,3.3810023799309987,1.1713042860719725,0.0067984007900021345,0.8419077642214415,5.118154510307265,4.047624093152246,1.1927900003684044,0.006847222220029733,0,8,0.9644886768509504,2.4761279960098435,3.165387790490994,0.9673470663889677,0.000645370002333666,0.0008282622422360493,0.9239940894152203,0.0029214831010802925,0.003835954313869373,0.9644886768509504,2.4761279960098435,3.165387790490994,0.9621063252013409,2.7043633236185842,3.5128114273661204,0.9529107287053928,24.720805576402835,31.096983857476367,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
6,Polynomial (deg=2),False,0.7915510590884981,3.8329037018590797,2.902457357309183,0.91754214267894,0.0051661031806909865,0.8401684090769918,4.606610571410652,3.486836664333076,0.923409999722935,0.005116444450929218,36,8,0.9476242919825696,2.4162145821336125,3.23858011453718,0.938263925555774,0.000711407861576679,0.0009520901237884183,0.9738443349138606,0.0016203470153652356,0.0020559399512650018,0.9476242919825696,2.4162145821336125,3.23858011453718,0.9577294994485068,2.2821228073222626,3.0882518380756228,0.9563343783739435,20.777808588124728,27.28446347398264,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
7,Random Forest,False,0.7826253511490103,1.9974625302109934,1.5556132902851982,196.2577274998369,0.3862428849203882,0.8294007911754555,2.496902218349639,1.9457385453568588,193.1319224998333,0.37752561111119576,3560,8,0.9236603512850475,3.1416071668659815,3.998080764892164,0.9224379372160876,0.0008721207090444229,0.001104371351433306,0.9594785664676623,0.0015924624329618693,0.0021923669598707955,0.9236603512850475,3.1416071668659815,3.998080764892164,0.9098480205596473,3.718872165719606,4.723231946647099,0.9961945522314426,5.5613562801878444,7.2525265319768435,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
8,Linear Regression,False,0.7439896202139986,0.3878392195501484,0.32157866351497566,0.513085356994582,0.0015275079380126766,0.8015802349694263,0.45261768225258,0.37525846024836623,0.5069499999081017,0.001551666666475487,8,8,0.9999997949085374,0.004631911230208313,0.006384203950745687,0.4809328645952906,0.002616285372717031,0.003002131775061266,0.9329230898815188,0.002668918049206202,0.0032175132264159164,0.9999997949085374,0.004631911230208313,0.006384203950745687,0.9994113788854635,0.3179623439756496,0.38369194262612627,0.9994484062173526,2.6695553120554902,3.218260462414004,0.9999265503587107,7.344964128939552e-11,7.754132776448564e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
