case_id,node,corner,temp_k,vdd,snm_mv,noise,ber,leakage_mw,tail_latency_ms,energy_per_token_uj,tokens_per_second,accuracy_degradation_percent,is_acceptable,reference_snm_mv,reference_noise,reference_ber,reference_leakage_mw,reference_tail_latency_ms,reference_energy_per_token_uj,reference_tokens_per_second,reference_accuracy_degradation_percent,reference_is_acceptable,native_backend_label,native_engine,config_source,data_source
14nm_ff_t330_v0p75,14nm,ff,330.0,0.75,176.77462731083236,0.12963642688559748,0.3827734375,1.7984429065743945,1.0,1.7984429065743945,1000.0,8.899502885235929,True,169.97560318349264,0.13645939672168156,0.466796875,1.634948096885813,1.0,1.634948096885813,1000.0,19.24533769336193,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ff_t330_v0p85,14nm,ff,330.0,0.85,187.30850378351514,0.12106073472318855,0.38821875,2.3100000000000005,1.0,2.3100000000000005,1000.0,8.899502885235929,True,180.10433056107223,0.12743235234019848,0.4734375,2.1,1.0,2.1,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ff_t330_v0p95,14nm,ff,330.0,0.95,197.67645273237645,0.11070007888102397,0.374765625,2.8855017301038064,1.0,2.8855017301038064,1000.0,8.899502885235929,True,190.07351224266966,0.1165263988221305,0.45703125,2.6231833910034603,1.0,2.6231833910034603,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ff_t360_v0p75,14nm,ff,360.0,0.75,171.6171890311006,0.14853691835477612,0.3943046875,1.7984429065743945,1.0,1.7984429065743945,1000.0,84.11752375041281,False,165.0165279145198,0.15635465089976433,0.480859375,1.634948096885813,1.0,1.634948096885813,1000.0,100.0,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ff_t360_v0p85,14nm,ff,360.0,0.85,182.05290287209624,0.14119199988192613,0.38597656249999995,2.3100000000000005,1.0,2.3100000000000005,1000.0,50.04558246018907,False,175.0508681462464,0.14862315777044857,0.470703125,2.1,1.0,2.1,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ff_t360_v0p95,14nm,ff,360.0,0.95,192.50277530333125,0.13213129546186367,0.3577890625,2.8855017301038064,1.0,2.8855017301038064,1000.0,50.04558246018907,False,185.09882240704928,0.1390855741703828,0.436328125,2.6231833910034603,1.0,2.6231833910034603,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t300_v0p75,14nm,ss,300.0,0.75,167.90641917039972,0.1208397118179084,0.5751953125,1.5532006920415222,1.0,1.5532006920415222,1000.0,4.701875624351791,True,174.90251996916638,0.11508543982657941,0.46015625,1.634948096885813,1.0,1.634948096885813,1000.0,1.606439657766597,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t300_v0p85,14nm,ss,300.0,0.85,177.67940333895007,0.11021360190756631,0.57275390625,1.9949999999999999,1.0,1.9949999999999999,1000.0,1.582580274039704,True,185.08271181140634,0.10496533515006315,0.458203125,2.1,1.0,2.1,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t300_v0p95,14nm,ss,300.0,0.95,187.24344373455085,0.09852557337477323,0.54833984375,2.492024221453287,1.0,2.492024221453287,1000.0,1.582580274039704,True,195.04525389015714,0.09383387940454593,0.438671875,2.6231833910034603,1.0,2.6231833910034603,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t330_v0p75,14nm,ss,330.0,0.75,163.07992445705247,0.14328236655776563,0.55078125,1.5532006920415222,1.0,1.5532006920415222,1000.0,55.46735427480891,False,169.87492130942965,0.13645939672168156,0.440625,1.634948096885813,1.0,1.634948096885813,1000.0,19.545089383990742,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
