rank,model,pareto_optimal,mean_r2,mean_rmse,mean_mae,mean_train_ms,mean_infer_ms,mean_r2_unweighted,mean_rmse_unweighted,mean_mae_unweighted,mean_train_ms_unweighted,mean_infer_ms_unweighted,param_count,target_count,snm_r2,snm_mae,snm_rmse,ber_r2,ber_mae,ber_rmse,noise_sigma_r2,noise_sigma_mae,noise_sigma_rmse,hold_snm_r2,hold_snm_mae,hold_snm_rmse,read_snm_r2,read_snm_mae,read_snm_rmse,write_margin_r2,write_margin_mae,write_margin_rmse,read_fail_r2,read_fail_mae,read_fail_rmse,write_fail_r2,write_fail_mae,write_fail_rmse
1,Random Forest,True,0.08859790491697785,11.771971213065175,10.454916974234163,180.93666732172878,0.34650092857609993,0.02012519388763767,14.0748132921548,12.499680971582048,178.50328000031368,0.3376013888939471,4258,8,0.212065303856793,7.256699294160997,8.182726472097132,0.21365424324336885,0.001978788720409598,0.0022340476188916964,0.1983849996247241,0.002180652692430021,0.002895561789664581,0.212065303856793,7.256699294160997,8.182726472097132,0.10290288993701172,7.326385058832775,8.276126502122779,-1.7780537173626698,78.15350368407131,87.95179628149018,0.9999825279450814,1.7472054918661368e-11,2.262827890809552e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
2,MLP 2-layer (Perceptron Gate),True,-0.03845750056713725,12.013670027057957,10.47291189880188,410.59748232118443,0.0009851230300675583,-0.12226407218402968,14.363314183363766,12.52027134155239,384.7005524998167,0.0009710000105971833,181,8,0.17462815886227911,7.24717294397004,8.339352608843836,0.17130851679484582,0.0019999505836545703,0.002280915153167247,-0.3851052281023324,0.002767800713699001,0.003441117223069174,0.17462815886227911,7.24717294397004,8.339352608843836,-0.17634288635085474,8.424358000860416,9.434639109069813,-1.9372046949527522,77.23869809229666,88.7874461077436,0.999975397414088,2.460258591204608e-11,3.280623172965411e-11,2.100097873380946e-13,9.999999999997899e-07,9.999999999997899e-07
3,Polynomial (deg=2),False,-0.08353776833598762,12.965578001101896,11.410014490775469,0.8215276780902059,0.004304503968702944,-0.1777819706123042,15.49844592384757,13.636679082103077,0.8378024997000466,0.004397666667096524,36,8,0.07732366863623927,7.802186730592931,8.92920401003408,0.11617099259013194,0.002074205367531572,0.002383798170156937,-0.3282401671202765,0.002947391087118321,0.0035840794877648003,0.07732366863623927,7.802186730592931,8.92920401003408,-0.1150086141734219,8.484384282089708,9.242117091010144,-2.2498079370980237,84.99965231707702,96.88107340202131,0.999982623630679,1.7376369321006113e-11,2.299796510150104e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
4,MLP 3-layer (sklearn),False,-0.1230782915692793,13.100597834247758,11.06711703787609,538.7960608927903,0.014426722225199763,-0.24834799852064987,15.656288573861143,13.233457148148485,412.1543474999271,0.014377111112682743,505,8,0.03147962373943476,7.725961122078756,8.93693129970703,0.14333418362214229,0.002033548708144104,0.0023134315090508817,-0.6575155989755979,0.0029602721287247504,0.0040327507624513936,0.03147962373943476,7.725961122078756,8.93693129970703,-0.5532503094650661,9.392265332095937,10.395352264101106,-2.2835703539867986,81.0184750893564,96.97474673277527,0.9999474890511795,5.251094882052456e-11,5.960214330004571e-11,0.3013113541100724,6.986886458899275e-07,8.122675928118574e-07
5,Linear Regression,False,-0.14902476133275375,12.155996568367957,10.562786252839713,0.5298408928281009,0.0014082023859546531,-0.23976791875055997,14.528700466775815,12.624438550352348,0.5191374998503306,0.001427277782366016,8,8,0.1731695622019958,7.230946373796274,8.323897228120462,-0.015059459015590648,0.0021164013712606233,0.0025750055925271393,-0.9350451233801843,0.0033877751426259267,0.004226742236221099,0.1731695622019958,7.230946373796274,8.323897228120462,-0.18337455099688577,8.6443550643077,9.517755783477535,-2.130984426018346,77.88375541438573,90.05725074663412,0.999981085002536,1.891499746402257e-11,2.517267687874496e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
6,Gradient Boosting,False,-0.26872206257339076,15.931257184059728,13.56708345355052,96.56448803552199,0.00732997222416637,-0.40128361334523344,19.027696025682317,16.206378505879613,95.64529249983025,0.007487777778199719,1540,8,-0.3362392639041205,9.07717899423,10.592445162872766,-0.30667288197900805,0.002458192415515054,0.0028707742419604985,0.0015585539776679757,0.002343632747847211,0.00314647777105955,-0.3362392639041205,9.07717899423,10.592445162872766,-0.3160510973237701,8.483911809473708,9.736175988324376,-2.9166073172867053,103.0079554239222,121.29448363935293,0.9999823636581905,1.7636341809560565e-11,2.2665385282841676e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
7,Polynomial (deg=3),False,-0.42397216048361586,16.93793008748731,14.13065730314812,0.951641964080149,0.005048297623741545,-0.5766366758797051,20.21875110294933,16.874989422950275,0.949664999734523,0.005014666670225172,120,8,-0.3919654272596024,9.343912322981405,10.991121532091327,-0.4022459528567713,0.002553903233878556,0.0030096717818632658,-0.4887608090180306,0.0026129314629107824,0.0035130283081229183,-0.3919654272596024,9.343912322981405,10.991121532091327,-0.6450412666835522,9.5058193880962,10.984530414669937,-3.2930990075646633,106.80110351483088,128.7767116446328,0.999984483604582,1.55163954179593e-11,1.927467935653132e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
8,SVR (RBF),False,-0.638948821643919,16.871148760644033,13.764885150116168,1.3636680355830322,0.007916079359405097,-0.8329788256293396,20.21584058713054,16.509427895539563,1.368157499928202,0.007942666660609474,0,8,-0.9783994725303522,10.812451768953045,12.791575045164935,-1.0417387236240523,0.002974709987391875,0.0035449011154242093,-0.38440247698438246,0.0029337867826114625,0.0036223046314346223,-0.9783994725303522,10.812451768953045,12.791575045164935,-1.1547587150431358,10.010603951027202,13.027806298679682,-3.126096743576543,100.43400617857822,123.10860010225262,0.9999649992541026,3.500074589722556e-11,3.526266469018219e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
