rank,model,pareto_optimal,mean_r2,mean_rmse,mean_mae,mean_train_ms,mean_infer_ms,mean_r2_unweighted,mean_rmse_unweighted,mean_mae_unweighted,mean_train_ms_unweighted,mean_infer_ms_unweighted,param_count,target_count,snm_r2,snm_mae,snm_rmse,ber_r2,ber_mae,ber_rmse,noise_sigma_r2,noise_sigma_mae,noise_sigma_rmse,hold_snm_r2,hold_snm_mae,hold_snm_rmse,read_snm_r2,read_snm_mae,read_snm_rmse,write_margin_r2,write_margin_mae,write_margin_rmse,read_fail_r2,read_fail_mae,read_fail_rmse,write_fail_r2,write_fail_mae,write_fail_rmse
1,Gradient Boosting,True,0.8214080177661564,0.08957710308631399,0.0596445280739851,90.59189696443225,0.007018126988629183,0.8749808209193422,0.10503614730585437,0.0699241987262183,89.53401250018942,0.007167222227306209,1540,8,0.999999352435284,0.00815805983240744,0.012741574921844684,0.9999990913127805,2.285085557117582e-06,3.649829303703873e-06,0.9999278322751595,8.145025381805026e-05,0.00011275409199625066,0.999999352435284,0.00815805983240744,0.012741574921844684,0.9999999704140172,0.0027005256067714834,0.0031667729821799454,0.9999695328471754,0.5402922091502205,0.8115218516480883,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
2,Polynomial (deg=3),True,0.8207616705724166,0.7531867094429174,0.6420833470781672,0.946492321086875,0.00481398015734966,0.8742266597026892,0.9005452370329188,0.7676053500697866,0.9687249996204628,0.004878888887307969,120,8,0.9990721330197694,0.4443739401507109,0.5240588876586998,0.9990603558194682,0.00010925875960013684,0.00012763559468525223,0.9990437521928699,0.0003812499907178945,0.0004133458846759219,0.9990721330197694,0.4443739401507109,0.5240588876586998,0.9990561830052496,0.4833672215350727,0.566041647971953,0.9985572849293511,4.768236189922916,5.589660491443059,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
3,Random Forest,False,0.8194321763147888,0.5148801713126339,0.4672516000439642,158.0070082148008,0.3072920833365638,0.872651742840341,0.6462830452870443,0.5858498223291868,156.6097875003834,0.30887894444782027,3744,8,0.9959492600807763,0.9776348599835873,1.0944779138500873,0.9958172005266208,0.00024300714120448268,0.0002689600983316532,0.998570388246554,0.0003986794442768859,0.0005036141514881654,0.9959492600807763,0.9776348599835873,1.0944779138500873,0.9951086025365455,1.1460267083906193,1.2878673291493363,0.9998677956164184,1.5848594636416542,1.6926676311454458,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
4,MLP 2-layer (Perceptron Gate),True,0.8178430657039779,0.8856603095069739,0.6429346691815568,386.9032637502447,0.0007788690495617053,0.8710252911466988,1.0734578686021403,0.7733159009459628,379.8900575004154,0.0007701666678864664,181,8,0.9968540245090651,0.5578664269861014,0.9651494055531151,0.9943295170819706,0.00022087424899668186,0.0003136427316876633,0.9848114704717116,0.001151542330824143,0.0016479725803775682,0.9968540245090651,0.5578664269861014,0.9651494055531151,0.9968586740741738,0.6237810806013764,1.0331512580424438,0.9985431828924709,4.445639856365738,5.622250264304806,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,9.630074515598608e-14,9.999999999999036e-07,9.999999999999036e-07
5,Polynomial (deg=2),False,0.8113796306160296,2.974841505377165,2.134195015038393,0.8995694641726005,0.00479153968583324,0.863225649539526,3.564626773236491,2.5579983114810423,0.9024374999171414,0.004820500000480226,36,8,0.9828389115811296,1.6350095072688013,2.2561396473625,0.9802928175745211,0.0004291942220785722,0.0005847254293655479,0.9957219817214664,0.0007462281403428936,0.0008747842885955435,0.9828389115811296,1.6350095072688013,2.2561396473625,0.9861200599638652,1.5514184721238824,2.173086696298406,0.9780410782590601,15.641372582775869,21.830187685098984,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
6,SVR (RBF),False,0.7935177913098282,4.246936351704502,3.3211939925616223,1.779302678986434,0.008980432544159981,0.8425655060118746,5.098152064154817,3.983831775991728,1.8831975004104606,0.009268944447992707,0,8,0.9600517158884883,2.6196220285197787,3.4428445069847333,0.9618898742903559,0.0006328840883422622,0.0008132427614678096,0.9426298051634022,0.0024581331212937445,0.0032035312837278016,0.9600517158884883,2.6196220285197787,3.4428445069847333,0.9576845818967163,2.8313798304962616,3.7949386737639834,0.9582649193325097,23.796938303139807,30.100571051408316,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
7,Linear Regression,False,0.7828294892534308,0.1870203602213194,0.15638581442006264,0.49740375036760404,0.0014937936552924511,0.8387476394074291,0.2183421797178666,0.18256205899659467,0.47997000028772163,0.0015408333355379808,8,8,0.9999998914997269,0.00449604571916148,0.0056736450401703754,0.7236391262769499,0.001978491948252877,0.002189835666926282,0.9866001153588357,0.0012942580172963054,0.0015481646198627623,0.9999998914997269,0.00449604571916148,0.0056736450401703754,0.9999010690390095,0.15397261322384312,0.1834865274613878,0.999889585950147,1.2942580172964777,1.548164619862838,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
8,MLP 3-layer (sklearn),False,0.7541924146336981,4.374727811798876,3.396659491036429,172.25034249984546,0.010099075397957923,0.783672114825694,5.209109736745111,4.041407785120576,191.52020999990782,0.01012266666900056,505,8,0.9738196885797745,1.8895774566061234,2.5289918139304115,0.9481471644896299,0.0007169271373215658,0.0008968818089386205,0.20701641087472716,0.00686875036546386,0.008250011895161589,0.9738196885797745,1.8895774566061234,2.5289918139304115,0.9695167743826539,2.1845495074681347,2.906421986707181,0.9369511584886135,26.359971442887478,33.6993245366459,0.999951435635037,4.8564364963023176e-11,5.157727892000674e-11,0.26015459757534193,7.39845402424658e-07,8.489913102503469e-07
