pdk_id,status,exit_code,elapsed_sec,blocker_code,recommendation,out_csv,out_report,error
sky130,pass,0,159.010,,,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/results/spice_vs_native_pdk_sky130_ops_plan_v1_full_gate_b_repro.csv,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/reports/spice_correlation_pdk_sky130_ops_plan_v1_full_gate_b_repro.md,
gf180mcu,pass,0,123.774,,,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/results/spice_vs_native_pdk_gf180mcu_ops_plan_v1_full_gate_b_repro.csv,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/reports/spice_correlation_pdk_gf180mcu_ops_plan_v1_full_gate_b_repro.md,
freepdk45_openram,pass,0,42.873,,,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/results/spice_vs_native_pdk_freepdk45_openram_ops_plan_v1_full_gate_b_repro.csv,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/reports/spice_correlation_pdk_freepdk45_openram_ops_plan_v1_full_gate_b_repro.md,
asap7,pass,0,8.421,,,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/results/spice_vs_native_pdk_asap7_ops_plan_v1_full_gate_b_repro.csv,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/gate_b/reports/spice_correlation_pdk_asap7_ops_plan_v1_full_gate_b_repro.md,
