rank,model,pareto_optimal,mean_r2,mean_rmse,mean_mae,mean_train_ms,mean_infer_ms,mean_r2_unweighted,mean_rmse_unweighted,mean_mae_unweighted,mean_train_ms_unweighted,mean_infer_ms_unweighted,param_count,target_count,snm_r2,snm_mae,snm_rmse,ber_r2,ber_mae,ber_rmse,noise_sigma_r2,noise_sigma_mae,noise_sigma_rmse,hold_snm_r2,hold_snm_mae,hold_snm_rmse,read_snm_r2,read_snm_mae,read_snm_rmse,write_margin_r2,write_margin_mae,write_margin_rmse,read_fail_r2,read_fail_mae,read_fail_rmse,write_fail_r2,write_fail_mae,write_fail_rmse
1,MLP 2-layer (Perceptron Gate),True,0.7178606404231546,7.902310256835287,6.182322717381739,418.1996346433607,0.0007623055692434604,0.7523267335157702,9.492007118458087,7.432599572570922,418.79784750044564,0.0007826111242239777,181,8,0.8162389276971684,5.278709263089096,6.545203718944478,0.8231919550771334,0.0012838409895904593,0.001566488088982907,0.9728082996709728,0.0015629089307524543,0.0021728046693884682,0.8162389276971684,5.278709263089096,6.545203718944478,0.8322412090104689,5.4589224470474935,6.769393068747829,0.7579449420025387,43.44160785737095,56.07251614821737,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,9.630074515598608e-14,9.999999999999036e-07,9.999999999999036e-07
2,Random Forest,False,0.7086146693969946,8.048674614862643,6.220209089213959,300.0896976784459,0.5664142182568968,0.7415106981859096,9.679996123848401,7.490008046144188,295.75724249989435,0.5639383888915795,3868,8,0.7963363397282164,5.595716053623238,6.958778445286605,0.7961927541037571,0.001355657123424963,0.0016842207557365818,0.9769861874527503,0.0014348048410341154,0.001982093631166413,0.7963363397282164,5.595716053623238,6.958778445286605,0.8105856353640357,5.883566373402859,7.26565828395172,0.7556987221396871,42.84227442648931,56.253086501823205,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
3,Polynomial (deg=2),False,0.7054255963746668,8.737140752643604,7.200750825747975,2.2272473217266713,0.011565499993853987,0.7379678517842579,10.477312577035926,8.635857264759245,2.212710000367224,0.011515944439047923,36,8,0.800969788244011,5.640944191565476,6.817303544230185,0.7967419768376514,0.0013860308704408378,0.0016611290477103534,0.9768093893721052,0.0014057401331636916,0.001979689995059201,0.800969788244011,5.640944191565476,6.817303544230185,0.8194345508562927,5.780874967142866,6.9955132218993,0.7088677137493787,52.02130199674614,63.18473848683279,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
4,Linear Regression,False,0.6998589303109005,8.096579336315179,6.429426583941615,1.7459500003172124,0.004240317464878206,0.737320858914013,9.703078085237998,7.710263337913261,1.8202775003373972,0.004388555559368494,8,8,0.8375758808726846,5.024245963245953,6.171847740879157,0.6591272081467524,0.001954971156808078,0.0022258253552631065,0.9747227823611931,0.0016079008981180168,0.0020949714859385404,0.8375758808726846,5.024245963245953,6.171847740879157,0.8526192226693864,5.155328247279423,6.346082157648931,0.7369962894187887,46.47472265742944,58.93052524560335,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
5,Gradient Boosting,False,0.6984836395261823,7.970582651581618,6.2710212793537785,162.77922107124792,0.011027436497580125,0.7293023147724635,9.607286064952351,7.553102429872286,161.6963899999064,0.011326444435124157,1540,8,0.7636549599122232,5.687310905500251,7.400433625920387,0.7673675154951424,0.001355641676561893,0.001766042900508771,0.970065846174472,0.0017187164518606118,0.0022231162782950426,0.7636549599122232,5.687310905500251,7.400433625920387,0.7890525262536044,5.8288438416832955,7.546867619881281,0.78067310346143,43.218278428115674,54.50656348866577,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
6,Polynomial (deg=3),False,0.698240571494359,8.426870632809043,6.603557496851142,2.3699805351692964,0.013167376984768902,0.7294220845590538,10.133273583722543,7.929536457958569,2.383377499427297,0.013267388890704349,120,8,0.7768011938127465,5.410705516144253,7.248085837797879,0.7721250577257212,0.0013230423139545637,0.0017732696694088153,0.9696566360079621,0.00178462053730876,0.002262379014742559,0.7768011938127465,5.410705516144253,7.248085837797879,0.7927879106135651,5.591999178956565,7.5331112781381195,0.7472550775290749,47.019772789521824,59.03286906731013,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
7,MLP 3-layer (sklearn),False,0.6231945598398938,8.731056694483126,6.888509792285487,189.4072982139148,0.012738265870702602,0.6314419251118335,10.4795122390178,8.280587255803685,209.98225999956048,0.012669666664603736,505,8,0.7855624222129276,5.8589586241459335,7.0425727800693,0.7541070456870529,0.0014430210418045768,0.001858442045495261,-0.021539193244998776,0.008219693112719625,0.009883838194213613,0.7855624222129276,5.8589586241459335,7.0425727800693,0.7699148346971675,6.2360086419607885,7.8422357248973755,0.717823664783635,48.2811087021265,61.896973497823225,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,0.26015459757534193,7.39845402424658e-07,8.489913102503469e-07
8,SVR (RBF),False,0.5626287508123522,11.301082698648763,8.55888057514493,1.9964889289700036,0.010512218254267023,0.5695173519959342,13.638466910175719,10.317372820716596,2.1380300003329467,0.010768277776757412,0,8,0.5157339100976032,7.970488104432763,10.895846843158537,0.49497260554347944,0.0019772220564590525,0.002690693664626157,0.9191752673688238,0.0028463785972588215,0.0037461630155046417,0.5157339100976032,7.970488104432763,10.895846843158537,0.5424322425749324,8.405230229997278,11.428367584314941,0.568141273314419,58.187951526165854,75.88123615404142,0.9999496069706142,5.0393029385837425e-11,5.217483475783828e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
