rank,model,pareto_optimal,mean_r2,mean_rmse,mean_mae,mean_train_ms,mean_infer_ms,mean_r2_unweighted,mean_rmse_unweighted,mean_mae_unweighted,mean_train_ms_unweighted,mean_infer_ms_unweighted,param_count,target_count,snm_r2,snm_mae,snm_rmse,ber_r2,ber_mae,ber_rmse,noise_sigma_r2,noise_sigma_mae,noise_sigma_rmse,hold_snm_r2,hold_snm_mae,hold_snm_rmse,read_snm_r2,read_snm_mae,read_snm_rmse,write_margin_r2,write_margin_mae,write_margin_rmse,read_fail_r2,read_fail_mae,read_fail_rmse,write_fail_r2,write_fail_mae,write_fail_rmse
1,Gradient Boosting,True,0.9999575136443553,0.17918179871209164,0.1314142158871901,97.33269839298373,0.007599345239185146,0.9999528060073698,0.2117760382657233,0.1556446968516264,95.79106250012046,0.007527944447550302,1540,8,0.9999662040849303,0.05590259402358065,0.06557146849315022,0.9999386660914198,2.00656278205005e-05,2.3394361544814672e-05,0.9999609241483421,5.146068006062904e-05,7.747295047450626e-05,0.9999662040849303,0.05590259402358065,0.06557146849315022,0.9999391956323869,0.07872804540316704,0.09784888821511842,0.9998687483447736,1.0545528150373076,1.4651156135895587,0.9999825056721754,1.7494327824679318e-11,2.2789598971419353e-11,1.0,0.0,0.0
2,Polynomial (deg=3),True,0.9972547669128398,1.346622702974865,1.15799962835889,1.2119130361302919,0.006477277774758967,0.9968190119315259,1.6094969484856976,1.3841763448872368,1.210982500379032,0.006482999997388106,120,8,0.9963867837859779,0.7966252889222643,0.9229367538465418,0.9964809796666095,0.00022063976276844496,0.0002523118639363007,0.9940834439266624,0.000868503351210256,0.001025758247519331,0.9963867837859779,0.7966252889222643,0.9229367538465418,0.9962131959376398,0.8776483826148731,1.0163181292472356,0.995009720720718,8.601422655515702,10.012505880820713,0.9999911876286216,8.812371378436967e-12,1.3092640188653828e-11,1.0,0.0,0.0
3,MLP 2-layer (Perceptron Gate),True,0.989782814837751,1.1698773292615057,0.9059609252514621,333.91789660664864,0.0006250317466534427,0.988725437168871,1.4142536670423889,1.0904077569192665,320.40415749952444,0.0006177222227658301,181,8,0.9943987959743706,0.8036997686734708,1.1866231895533044,0.9923493930036826,0.0002768330406161053,0.00038632132086136137,0.9390914820913003,0.0024475389750214884,0.0032426348223213415,0.9943987959743706,0.8036997686734708,1.1866231895533044,0.9928553352670193,1.0340560423624665,1.4461271496648538,0.9967735929887714,6.079082103565189,7.491026851343508,0.9999763027468417,2.3697253158390224e-11,3.506443182990606e-11,0.9999597993046109,4.020069538910197e-11,4.589106670596565e-11
4,SVR (RBF),False,0.9713504249426477,4.273996335943184,3.3810022020248702,1.2736437499110513,0.007345301587881137,0.966911467802126,5.118154377445824,4.047623968774566,1.2563799999043113,0.007269222221819089,0,8,0.9644886768509504,2.4761279960098435,3.165387790490994,0.9673437321168408,0.0006453750138536638,0.0008281993876706993,0.9239940894152203,0.0029214831010802925,0.003835954313869373,0.9644886768509504,2.4761279960098435,3.165387790490994,0.9621063252013409,2.7043633236185842,3.5128114273661204,0.9529107287053928,24.720805576402835,31.096983857476367,0.9999595132763119,4.048672368802037e-11,4.057511085300749e-11,1.0,0.0,0.0
5,Polynomial (deg=2),False,0.9709907610614327,3.764418797009962,2.7612835562688343,1.0132112499117545,0.0052831785760934025,0.9660144714410298,4.526375394291284,3.3181830760161453,1.0236724998321733,0.005324388892202276,36,8,0.9475166366175845,2.321351485965848,3.230485527041399,0.9431989478222581,0.0006569503796467949,0.0009114747326662405,0.9741571199191128,0.0016180971724979204,0.0020750969573110198,0.9475166366175845,2.321351485965848,3.230485527041399,0.9572155272611198,2.2084536549543494,3.0901340634546544,0.9585248328373235,19.69203293367704,26.656911465082498,0.9999860704532549,1.3929546745105549e-11,2.0341321539992966e-11,1.0,0.0,0.0
6,Random Forest,False,0.962441429398058,1.9644231265057799,1.528041765597889,209.21999124999016,0.41827041270052073,0.9558256006518095,2.457026325441535,1.9126212448891582,208.87432999998055,0.412874666667954,3548,8,0.9240228867088268,3.118783369521691,3.966155539012683,0.9239600308007972,0.0008514349171098538,0.0010863798402074834,0.958533324016521,0.001617410800367106,0.002225942607631791,0.9240228867088268,3.118783369521691,3.966155539012683,0.9199222893336281,3.4646126343604324,4.419419196684212,0.9961608175927292,5.596321739974544,7.301168006352053,0.9999825700531471,1.7429946852943278e-11,2.2810232087575846e-11,1.0,0.0,0.0
7,Linear Regression,False,0.909044082240344,0.37033425554661326,0.2948798802861815,0.5792344643006281,0.0016346468235872362,0.9141246811321759,0.4321840581311455,0.3441060398613954,0.5781850000857958,0.0016647222198824035,8,8,0.9999997960338675,0.0046725186126700975,0.006357252811322931,0.37153283749722366,0.0028699881136877853,0.003374879673478002,0.9425008400721083,0.002446875335637541,0.003071412666096506,0.9999997960338675,0.0046725186126700975,0.006357252811322931,0.9994927711707297,0.29131108256287913,0.36689900096720146,0.9994879515244437,2.4468753356370754,3.071412666096057,0.9999834567251673,1.6543274832651364e-11,2.368504248392835e-11,1.0,0.0,0.0
8,MLP 3-layer (sklearn),False,-0.9958262572130337,4.2317167342621245,3.2431285405079735,316.44191178593246,0.007621837300850154,-0.41118754557474724,4.9828869322479825,3.8187544193583713,250.0449375002063,0.007590666666348827,505,8,0.9628762191570772,2.3177302914414155,2.989498433152804,0.9584233991955896,0.0007075155752351699,0.0008988393797516308,0.9180304242521988,0.0028799229170838082,0.003943267577716797,0.9628762191570772,2.3177302914414155,2.989498433152804,0.9557682303487832,2.6785344856279925,3.445296984879994,0.9525666655281328,22.4954664760373,29.490649163785065,0.9999584777631636,4.152223683636784e-11,5.6824419435640475e-11,-10.0,0.7369863717850068,0.9433103359989004
