rank,model,pareto_optimal,mean_r2,mean_rmse,mean_mae,mean_train_ms,mean_infer_ms,mean_r2_unweighted,mean_rmse_unweighted,mean_mae_unweighted,mean_train_ms_unweighted,mean_infer_ms_unweighted,param_count,target_count,snm_r2,snm_mae,snm_rmse,ber_r2,ber_mae,ber_rmse,noise_sigma_r2,noise_sigma_mae,noise_sigma_rmse,hold_snm_r2,hold_snm_mae,hold_snm_rmse,read_snm_r2,read_snm_mae,read_snm_rmse,write_margin_r2,write_margin_mae,write_margin_rmse,read_fail_r2,read_fail_mae,read_fail_rmse,write_fail_r2,write_fail_mae,write_fail_rmse
1,MLP 2-layer (Perceptron Gate),True,0.8521653010069483,10.321769461310112,9.164334441497646,344.91906642830537,0.0007008492017727502,0.8249731096152713,12.365654070800604,10.984759642207264,343.46019499980684,0.0007148333295642968,181,8,0.7553282347040339,7.034723153431715,7.7683254399066275,0.7636763389021669,0.0019021125792296953,0.0020895197594790844,0.9760092347906777,0.0017180711982767722,0.0024220694496222207,0.7553282347040339,7.034723153431715,7.7683254399066275,0.8146601858486184,6.884780673501008,7.579855193670605,0.5348614133437527,66.92022997343739,75.80421490361525,0.9999799024058866,2.0097594113374616e-11,2.955762418429201e-11,0.9999413322230009,5.866777699916294e-11,6.706181873449198e-11
2,Linear Regression,False,0.8471188767782499,10.213760969271558,8.940113324441702,0.5703326790743242,0.0016053174680391315,0.8225672757933544,12.224599076152646,10.706568784782867,0.5594150004981202,0.001619500007008254,8,8,0.7784709167621546,6.636434964035321,7.407465535837479,0.6820358333052742,0.002034197468023686,0.002434934910317129,0.978674231884264,0.001726262010203139,0.002274586306533105,0.7784709167621546,6.636434964035321,7.407465535837479,0.8082428787496723,7.032301750249836,7.7014860260491815,0.554648721602005,65.34361814045894,75.2756659902711,0.9999947072813112,5.2927186887292895e-12,9.084690328147938e-12,1.0,0.0,0.0
3,Polynomial (deg=2),False,0.8411799557669382,10.91164264718289,9.351054322060577,1.0804996428565314,0.005939746034484762,0.8121815300728781,13.062786312831317,11.208711142914769,1.0838700000931567,0.0060075555605484015,36,8,0.7438642248274714,7.1814258480511715,7.983039138849324,0.7457105036708105,0.001963233770056804,0.002171847252650066,0.981094153035072,0.0016280418206907979,0.0021314662386806684,0.7438642248274714,7.1814258480511715,7.983039138849324,0.7804804125433866,7.588500444248991,8.254888670828734,0.5024437974084179,67.714745727371,80.27702024062214,0.9999949242703952,5.075729604723116e-12,9.696169746639475e-12,1.0,0.0,0.0
4,Random Forest,False,0.8347528130438877,11.03464404440139,9.763188414136167,216.02163499961927,0.41168980158040036,0.804412804844069,13.219352870963654,11.697552249350435,216.74634999963018,0.4063479444367759,4134,8,0.7097157240691294,7.373883377739235,8.296687127151039,0.709591863132508,0.0020124952997953656,0.0022653768519590805,0.9788231284545719,0.0015824706164050094,0.0022097384133974163,0.7097157240691294,7.373883377739235,8.296687127151039,0.8514446420733452,5.56902156340111,6.701641809258197,0.47601761016521654,73.26003471000145,82.45533178887369,0.9999937467886513,6.253211348690042e-12,9.918021881762768e-12,1.0,0.0,0.0
5,Gradient Boosting,False,0.8079400718327774,12.335354151207397,10.48353152251519,100.85305999997608,0.00812924602787317,0.7728598624978877,14.750125782030654,12.545527736870715,99.88790000006702,0.008148611108885638,1540,8,0.690173575681725,7.555782653358918,8.615461962856207,0.693375571855408,0.0020392464583255153,0.002339614926809868,0.9753592268842478,0.0018806561228046804,0.0024188668502319174,0.690173575681725,7.555782653358918,8.615461962856207,0.807288387191646,6.4877239416997785,7.686253696644198,0.3265148619695675,78.76101274396068,93.0790701521016,0.9999937007187825,6.2992812176567595e-12,9.975644242501046e-12,1.0,0.0,0.0
6,Polynomial (deg=3),False,0.7456123706857348,14.342572529941243,11.778041955965628,1.1689123217040887,0.006478015868687801,0.6990081236708776,17.142053173159617,14.103702922804233,1.1786325003413367,0.006462111109107759,120,8,0.5863833426968912,8.705979978811467,9.819879881046406,0.592029755955015,0.002367835923877622,0.0026628302146719453,0.9733011976399659,0.002034886366610006,0.0025497635437851675,0.5863833426968912,8.705979978811467,9.819879881046406,0.7231040233237358,7.629490732584792,9.216151839874172,0.13086975834444659,87.78376996992922,108.27530118953985,0.9999935687100748,6.431289925169303e-12,1.1664723504440719e-11,1.0,0.0,0.0
7,SVR (RBF),False,0.7206229995236089,13.640514312179896,10.878245049360267,1.4209453575274114,0.008155067457015061,0.6706840931627492,16.35221562176409,13.053984251062747,1.4581350003936677,0.008139555553093992,0,8,0.5403916708074863,8.707441128880978,10.52214421235712,0.5242649896666223,0.0024217104072567315,0.002916119953549056,0.9130604271768771,0.0034568104425477934,0.004731764160051862,0.5403916708074863,8.707441128880978,10.52214421235712,0.6065532301176394,8.19862015541486,10.721133491837554,0.2408339704667007,78.81249307445214,99.04465517342189,0.9999767862591822,2.3213740817794216e-11,2.544093913709971e-11,1.0,0.0,0.0
8,MLP 3-layer (sklearn),False,-1.2697079259472872,13.238901750843768,11.50399248814845,212.09785053542873,0.008444063488053554,-0.7230166162729956,15.69403889144178,13.635803129601952,174.83313749971785,0.00842105555218748,505,8,0.7511866866118402,6.663126808473329,7.821883818897385,0.7048249951449896,0.0018992590563569906,0.0023203708780595205,0.09275373069087445,0.009130672753262308,0.010811998111970613,0.7511866866118402,6.663126808473329,7.821883818897385,0.6009248153372444,9.208197415659498,11.021591444753769,0.3150119696151267,85.78497694554859,97.94894159487887,0.9999781858041186,2.181419588142535e-11,3.0610391800232365e-11,-10.0,0.7559671268294327,0.9248780850861931
