pdk_id,status,exit_code,elapsed_sec,blocker_code,recommendation,out_csv,out_report,error
gf180mcu,pass,0,54.635,,,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/parallel/workers_4/repeat_2/results/spice_vs_native_pdk_gf180mcu_matrix_parallel_w4_r2.csv,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/parallel/workers_4/repeat_2/reports/spice_correlation_pdk_gf180mcu_matrix_parallel_w4_r2.md,
freepdk45_openram,pass,0,23.157,,,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/parallel/workers_4/repeat_2/results/spice_vs_native_pdk_freepdk45_openram_matrix_parallel_w4_r2.csv,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/reports/ops_plan_v1/ops_plan_v1_full/parallel/workers_4/repeat_2/reports/spice_correlation_pdk_freepdk45_openram_matrix_parallel_w4_r2.md,
