rank,model,pareto_optimal,mean_r2,mean_rmse,mean_mae,mean_train_ms,mean_infer_ms,mean_r2_unweighted,mean_rmse_unweighted,mean_mae_unweighted,mean_train_ms_unweighted,mean_infer_ms_unweighted,param_count,target_count,snm_r2,snm_mae,snm_rmse,ber_r2,ber_mae,ber_rmse,noise_sigma_r2,noise_sigma_mae,noise_sigma_rmse,hold_snm_r2,hold_snm_mae,hold_snm_rmse,read_snm_r2,read_snm_mae,read_snm_rmse,write_margin_r2,write_margin_mae,write_margin_rmse,read_fail_r2,read_fail_mae,read_fail_rmse,write_fail_r2,write_fail_mae,write_fail_rmse
1,Random Forest,True,0.09442758054634545,11.87508819515353,10.571312790087713,222.9978726788951,0.45792421428222235,0.02719356312082155,14.19381006359978,12.63565475134727,221.33887000027244,0.446687222219124,4268,8,0.22023321408896868,7.260996045795916,8.151374182517092,0.21928491190126875,0.001980991181861752,0.002227964975206188,0.1884927945608942,0.002209570016489239,0.0029165866022691726,0.22023321408896868,7.260996045795916,8.151374182517092,0.07720156321167362,7.3831595038033395,8.361367816494905,-1.7078837288455755,79.17589485417116,88.88121877567208,0.9999865359603749,1.3464039625083968e-11,1.9593554803628645e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
2,MLP 2-layer (Perceptron Gate),True,-0.010775906913703354,11.593560731172587,10.152975249463461,444.87069875021916,0.001115432540621167,-0.08794313485209498,13.877868805360373,12.160564154215702,437.6571800002239,0.0011198888912784038,181,8,0.14574607274898346,7.5725220420281,8.451821605345025,0.15989757131951216,0.002054404331788801,0.002299644058126287,-0.6608618167838978,0.0029860901099912243,0.0037760656637267514,0.14574607274898346,7.5725220420281,8.451821605345025,-0.023961834842941898,7.881453636199183,8.845735357033393,-1.470085239668354,74.25297401900255,85.26749516540322,0.9999740956603411,2.590433965885761e-11,3.4479872648874623e-11,6.135758567893391e-13,9.999999999993865e-07,9.999999999993863e-07
3,Polynomial (deg=2),False,-0.037913655013645076,12.561859428633431,11.179979400824372,0.9601794643133742,0.005332603172324266,-0.12431380121765517,15.02124735795522,13.367970925858321,0.9874175000732066,0.005290388885946918,36,8,0.09637188838967259,7.794157096564227,8.780523180778077,0.13117766765076083,0.002087965021317308,0.002350842551590288,-0.32012156873771,0.002840500995305803,0.0035418385249390187,0.09637188838967259,7.794157096564227,8.780523180778077,-0.04733417727051285,8.127562318776649,8.939145210526627,-1.9509600675019698,83.2229614289288,93.66389361046046,0.9999839593388462,1.604066115389863e-11,2.1976002632396542e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
4,Linear Regression,False,-0.06543775489286151,11.739702226322937,10.308461864062863,0.6201623217358637,0.0018563769846502785,-0.14423110024976155,14.043770814761988,12.33793953458243,0.6044875003681227,0.0018716111117100809,8,8,0.1716203781245048,7.475981620540407,8.34178709235339,-0.054892521049374456,0.0021312342356448626,0.002628242806601004,-0.6315579979092589,0.003058234456267311,0.003906771831295415,0.1716203781245048,7.475981620540407,8.34178709235339,-0.07434645762787714,8.115396114306884,9.076345207640841,-1.7362768503520933,75.6309664525641,86.58371111108784,0.9999842686915029,1.5731308497035074e-11,2.2549645554172945e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
5,MLP 3-layer (sklearn),False,-0.1109988720762878,12.500676848704169,10.754232381113297,421.7266094641348,0.009582515856256203,-0.2419664401238296,14.977097685511687,12.892366135127759,336.28674249985124,0.009486999984397294,505,8,-0.10951552322312559,8.300519592562747,9.434101636647364,0.16522803157130433,0.002030341939216735,0.00229839246980299,-0.5411253658494919,0.0028594611416247607,0.003934111422023522,-0.10951552322312559,8.300519592562747,9.434101636647364,-0.4416176578397746,8.859257310988566,9.887263503209425,-2.199720952124734,77.67374208236262,91.05508139075968,0.9999556731401515,4.432685984853592e-11,5.541596170257742e-11,0.30057979655815903,6.994202034418409e-07,8.128824223331473e-07
6,Gradient Boosting,False,-0.25384862986509543,15.609252736973838,13.538913456796138,126.8523987503938,0.009889746029979767,-0.3843646721609133,18.655630969467655,16.179352866293918,124.8114600003646,0.00992644444219574,1540,8,-0.3530148619054446,9.21733160193712,10.679002559217425,-0.30533723644744554,0.0024631143266649865,0.002865726014566266,-0.0279782200366425,0.0023610616126065577,0.003138530844935704,-0.3530148619054446,9.21733160193712,10.679002559217425,-0.22434484500443128,8.190684574450156,9.35454424879606,-2.811213910027172,102.80464997607423,118.52649313163133,0.9999865580392747,1.3441960725409176e-11,1.9504552341078573e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
7,Polynomial (deg=3),False,-0.36353552753859475,16.071789887708373,13.68166569574234,0.999324285567127,0.005482611106546958,-0.5058516445343583,19.19305951638836,16.334979975800305,1.0148249998565007,0.005461777774245194,120,8,-0.31279816863378873,8.95534858281133,10.626351829368422,-0.32514676684658506,0.002462581506700237,0.0029146792415195777,-0.42985575766594153,0.0024788329200164045,0.0034091296551951866,-0.31279816863378873,8.95534858281133,10.626351829368422,-0.5109782689172899,8.927469540906447,10.350955787223269,-3.155221297408263,103.83673068543189,121.93449187623148,0.9999852718307917,1.472816920838045e-11,1.859725862002952e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
8,SVR (RBF),False,-0.5727620272805048,16.26079278075869,13.64244875448108,1.6446362501353309,0.009836420632771998,-0.7557840401866924,19.496001575869112,16.364425752461706,1.7042825001226447,0.010027499997199306,0,8,-0.9064524686454887,10.76058451349694,12.605353107066602,-0.9780255945704347,0.0029691521891779824,0.00350329136172943,-0.2855322823975138,0.0028108626973843125,0.003534715436838494,-0.9064524686454887,10.76058451349694,12.605353107066602,-1.0050803260802663,9.812788387108174,12.54141491181474,-2.9646941804084497,99.57566759067005,118.20885247417114,0.9999649992541026,3.500074589722556e-11,3.526266469018219e-11,-8.881784197001252e-16,1.0000000000000008e-06,1.0000000000000008e-06
